SAC:SIC:ALT_GEO_FT:POS_LAT_DEG:POS_LONG_DEG:ALT_BARO_FT:TOD:REC_TIME_POSIX:REC_TIME_MS:EMITTER_CATEGORY:DIFFERENTIAL_CORRECTION:GROUND_BIT:SIMULATED_TARGET:TEST_TARGET:FROM_FFT:SELECTED_ALT_CAPABILITY:SPI:LINK_TECHNOLOGY_CDTI:LINK_TECHNOLOGY_MDS:LINK_TECHNOLOGY_UAT:LINK_TECHNOLOGY_VDL:LINK_TECHNOLOGY_OTHER:DESCRIPTOR_ATP:alt_reporting_capability_ft:TARGET_ADDR:CAT:LINE_ID:DS_ID:report_type:TOD_CALCULATED:CALLSIGN:GROUNDSPEED_KT:TRACK_ANGLE_DEG:REC_NUM
8:200:678:48,662021793309194:2,3791041145961427:678:4076800:1665651050:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0724486:237,69:30
8:200:709:48,662021793309194:2,3791041145961427:709:4077056:1665651052:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0108:237,64:31
8:200:777:48,662021793309194:2,3791041145961427:777:4078080:1665651060:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0162:237,41:32
8:200:217:48,59045363503763:2,3240142225313645:217:4078592:1665651064:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,04512:72,42:33
8:200:824:48,662021793309194:2,3791041145961427:824:4079360:1665651070:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,027:237,47:34
8:200:824:48,662021793309194:2,3791041145961427:824:4079616:1665651072:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,030547:237,82:35
8:200:820:48,662021793309194:2,3791041145961427:820:4080640:1665651080:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0216:237,61:36
8:200:799:48,66211346655652:2,3793161089805834:799:4082176:1665651092:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:5,88952:237,07999999999998:37
8:200:735:48,66252599616948:2,3803015963893346:735:4083200:1665651100:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:5,79964:268:38
8:200:689:48,662589021527026:2,3804505654162385:689:4083712:1665651104:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0691537:111,04:39
8:200:499:48,6623884862985:2,3800208470693995:499:4085760:1665651120:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0054:254,51999999999998:40
8:200:454:48,6623884862985:2,3800208470693995:454:4086272:1665651124:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0216:257,54:41
8:200:303:48,66238275672055:2,3800208470693995:303:4088064:1665651138:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:3NZCJCL0:0,0170763:257,46:42
8:200:218:48,58766906015011:2,324495507079824:218:4091136:1665651162:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,22853:166,19:43
8:200:218:48,59119275059419:2,3280879524593994:218:4097280:1665651210:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,74725:194,61:44
8:200:217:48,592585038037946:2,3272227861877637:217:4099328:1665651226:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,86535:138,51:45
8:200:217:48,59369084658382:2,326518048098947:217:4101120:1665651240:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,41172:200,85:46
8:200:216:48,59518626643081:2,3254523465987864:216:4104960:1665651270:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,35466:28,900000000000006:47
8:200:217:48,59455601285545:2,326111248063939:217:4106496:1665651282:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,30025:283,87:48
8:200:209:48,59318664372353:2,326546695988737:209:4109056:1665651302:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,22917:345,9:49
8:200:209:48,589937973021414:2,324793445133633:209:4116224:1665651358:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,33665:248,70999999999998:50
8:200:208:48,590104130782194:2,325137219811104:208:4116736:1665651362:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,36091:236,57:51
8:200:203:48,59103805198932:2,325939360725204:203:4119680:1665651385:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:1,45197:247,2:52
8:200:205:48,590946378742004:2,3263690790720433:205:4120448:1665651391:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,79642:355,88:53
8:200:205:48,59185165205934:2,3265123185209893:205:4129408:1665651461:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,40546:328,06:54
8:200:134:48,592413150699215:2,3287984201261738:134:4139136:1665651537:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,40169:122:55
8:200:133:48,5926595225514:2,327641045378687:133:4140160:1665651545:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,52374:96,85:56
8:200:134:48,594458610030166:2,3256700705611846:134:4143488:1665651571:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,8047:118,13:57
8:200:134:48,594458610030166:2,3256700705611846:134:4143744:1665651573:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,8047:118,13:58
8:200:160:48,594951353734544:2,324512695813698:160:4145024:1665651583:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:3,92086:202,36:59
8:200:225:48,5947393593501:2,3256127747816064:225:4146560:1665651595:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,19961:318,14:60
8:200:258:48,59230428871801:2,328231191908346:258:4188288:1665651921:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:3,80137:100,88:61
8:200:274:48,58964003496761:2,322112002649357:274:4197504:1665651993:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:3,67677:250,87:62
8:200:273:48,58945668847296:2,323361050644169:273:4199552:1665652009:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:3,7117:251,63:63
8:200:273:48,5895999279219:2,324008492953407:273:4200320:1665652015:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,84967:251,32999999999998:64
8:200:241:48,60724129845415:2,427685206100797:241:4431488:1665653821:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:5FSCK3D0:0,0973499:331,03:65
8:200:271:48,607235568876185:2,427685206100797:271:4432000:1665653825:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:5FSCK3D0:0,0120748:331,94:66
