SAC:SIC:ALT_GEO_FT:POS_LAT_DEG:POS_LONG_DEG:ALT_BARO_FT:TOD:REC_TIME_POSIX:REC_TIME_MS:EMITTER_CATEGORY:DIFFERENTIAL_CORRECTION:GROUND_BIT:SIMULATED_TARGET:TEST_TARGET:FROM_FFT:SELECTED_ALT_CAPABILITY:SPI:LINK_TECHNOLOGY_CDTI:LINK_TECHNOLOGY_MDS:LINK_TECHNOLOGY_UAT:LINK_TECHNOLOGY_VDL:LINK_TECHNOLOGY_OTHER:DESCRIPTOR_ATP:alt_reporting_capability_ft:TARGET_ADDR:CAT:LINE_ID:DS_ID:report_type:TOD_CALCULATED:CALLSIGN:GROUNDSPEED_KT:TRACK_ANGLE_DEG:REC_NUM
8:200:164:48,58968014201332:2,3234298055796634:164:6264704:1665581743:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,41873:222,82999999999998:43
8:200:165:48,59092346043017:2,325188786012725:165:6267520:1665581765:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,97364:223,04:44
8:200:166:48,591175561860325:2,325532560690196:166:6268032:1665581769:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,19932:219,13:45
8:200:165:48,59166257598673:2,3260826001741504:165:6268800:1665581775:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,23594:214,31:46
8:200:166:48,59196051404054:2,3263576199161276:166:6269568:1665581781:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,39179:207,03:47
8:200:166:48,59311788878803:2,327136842518396:166:6271616:1665581797:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:3,77848:198:48
8:200:166:48,59480811428559:2,3270910058947334:166:6274176:1665581817:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,3507:155,03:49
8:200:167:48,58781229959905:2,321871360375127:167:6294144:1665581973:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,16093:187,61:50
8:200:166:48,59043071672579:2,324386645098625:166:6298752:1665582009:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,4621:222,57999999999998:51
8:200:165:48,59144485202434:2,3257961212762575:165:6300800:1665582025:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,48311:222,15:52
8:200:166:48,59190894783892:2,3264378340075376:166:6301568:1665582031:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,44754:212,24:53
8:200:166:48,59212667180132:2,326678476281767:166:6302080:1665582035:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,39036:205,63:54
8:200:165:48,59269962959711:2,3270279805371965:165:6302848:1665582041:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,33754:186,62:55
8:200:166:48,59526648052223:2,32672431290543:166:6306944:1665582073:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,22994:132,84:56
8:200:166:48,59252201268041:2,3264894002091583:166:6312576:1665582117:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,61825:17,599999999999994:57
8:200:166:48,59086043507263:2,3249252254266635:166:6315392:1665582139:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,48633:49,47999999999999:58
8:200:166:48,59055103786291:2,324403833832499:166:6316160:1665582145:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,52443:47,400000000000006:59
8:200:167:48,58841963486258:2,321378616670751:167:6319744:1665582173:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:6,37338:66,57:60
8:200:166:48,58692994459354:2,3208858729663757:166:6323584:1665582203:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,38018:251,16:61
8:200:166:48,590384880102135:2,324443940878204:166:6329728:1665582251:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,93704:222,63:62
8:200:167:48,591668305564696:2,326237298779012:167:6332288:1665582271:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,36983:212,61:63
8:200:166:48,59189175910505:2,3264722114752843:166:6332800:1665582275:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,40575:207,06:64
8:200:166:48,594762277661935:2,327176949564101:166:6336896:1665582307:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,40379:158,04:65
8:200:166:48,595100322761446:2,326999332647407:166:6337408:1665582311:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,39417:146,96:66
8:200:166:48,59558733688787:2,3263919973838743:166:6338432:1665582319:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:3,64428:77,67:67
8:200:166:48,591668305564696:2,3261513551096447:166:6345600:1665582375:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,69764:36,19:68
8:200:167:48,588156074276526:2,320960357479828:167:6352768:1665582431:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,35826:69,47:69
8:200:166:48,587004429107:2,3201009207861496:166:6355712:1665582454:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:3,87233:290,71:70
8:200:166:48,58696432206129:2,321137974396521:166:6357248:1665582466:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:4,5305:229,07999999999998:71
8:200:166:48,58767478972807:2,3217223913482226:166:6358528:1665582476:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,00829:190,38:72
8:200:166:48,59103805198932:2,3253320254616714:166:6364672:1665582524:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,62067:224,72:73
8:200:166:48,59268244086323:2,3269420368678286:166:6367488:1665582546:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,90061:199,57999999999998:74
8:200:166:48,59382835645481:2,327297270701216:166:6369024:1665582558:0:13:N:N:N:N:N:N:N:N:N:N:N:Y:1:0:623615:21:1:18:3:N:11VKH180:5,98226:185,64:75
